antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,rating_group
Gia_Ca_NEG,Chat_Luong_Chat_Lieu_NEG,0.0992063492063492,0.5793650793650794,0.07539682539682539,0.76,1.3117808219178082,0.017920131015369108,1.7526455026455026,LOW
Mau_Sac_Mau_Ma_NEG,Chat_Luong_Chat_Lieu_NEG,0.34523809523809523,0.5793650793650794,0.21626984126984128,0.6264367816091955,1.0812470477090221,0.01625094482237338,1.126007326007326,LOW
CSKH_Hau_Mai_POS,Chat_Luong_Chat_Lieu_POS,0.31998295696634,0.6749041329356625,0.22155943757988922,0.6924101198402131,1.025938479333952,0.005601617454332103,1.0569134033130625,HIGH
Dong_Goi_POS,Chat_Luong_Chat_Lieu_POS,0.45249254367277375,0.6749041329356625,0.27183638687686407,0.6007532956685498,0.8901313036200041,-0.0335527009704617,0.8142731387319018,HIGH
Mau_Sac_Mau_Ma_POS,Chat_Luong_Chat_Lieu_POS,0.12824882829143588,0.6749041329356625,0.0945888368129527,0.7375415282392026,1.0928093224604851,0.0080331725549065,1.2386564048907032,HIGH
Form_Size_POS,Chat_Luong_Chat_Lieu_POS,0.08436301661695782,0.6749041329356625,0.0651896037494674,0.7727272727272727,1.1449437557392104,0.0082526551677626,1.4304218150830847,HIGH
Gia_Ca_POS,Chat_Luong_Chat_Lieu_POS,0.31572219855134215,0.6749041329356625,0.24328930549637837,0.7705802968960864,1.141762598999441,0.030207088834543705,1.4170355146745537,HIGH
Giao_Hang_POS,Chat_Luong_Chat_Lieu_POS,0.34128674904132933,0.6749041329356625,0.21516829995739242,0.6304619225967542,0.9341503360698118,-0.015167537486777016,0.879735775400454,HIGH
"Dong_Goi_POS, CSKH_Hau_Mai_POS",Chat_Luong_Chat_Lieu_POS,0.16744780570941628,0.6749041329356625,0.12611844908393693,0.7531806615776081,1.1159816999511656,0.013107232959644055,1.3171409871781918,HIGH
"Giao_Hang_POS, CSKH_Hau_Mai_POS",Chat_Luong_Chat_Lieu_POS,0.16489135066041755,0.6749041329356625,0.11205794631444398,0.6795865633074936,1.0069379192441208,0.0007720922683845804,1.0146137141443436,HIGH
"Gia_Ca_POS, CSKH_Hau_Mai_POS",Chat_Luong_Chat_Lieu_POS,0.15466553046442266,0.6749041329356625,0.12185769066893908,0.787878787878788,1.1673936333027244,0.0174732849358136,1.5325948018747344,HIGH
"Giao_Hang_POS, Dong_Goi_POS",Chat_Luong_Chat_Lieu_POS,0.17043033659991477,0.6749041329356625,0.11248402215594376,0.66,0.9779166666666668,-0.0025401163929548304,0.9561643148951102,HIGH
"Gia_Ca_POS, Dong_Goi_POS",Chat_Luong_Chat_Lieu_POS,0.14827439284192587,0.6749041329356625,0.11844908393694077,0.7988505747126436,1.1836504411935447,0.01837808339939899,1.6161908819769917,HIGH
"Giao_Hang_POS, Gia_Ca_POS",CSKH_Hau_Mai_POS,0.15168299957392417,0.31998295696634,0.09757136770345122,0.6432584269662921,2.010289651251515,0.04903539297826288,1.9061895064565586,HIGH
"Gia_Ca_POS, CSKH_Hau_Mai_POS",Giao_Hang_POS,0.15466553046442266,0.34128674904132933,0.09757136770345122,0.6308539944903582,1.8484573346677537,0.044786071622495725,1.7844247022238617,HIGH
"Giao_Hang_POS, Gia_Ca_POS",Dong_Goi_POS,0.15168299957392417,0.45249254367277375,0.09714529186195142,0.6404494382022471,1.4153811972322732,0.02850986555283022,1.5227551129100974,HIGH
"Gia_Ca_POS, Dong_Goi_POS",Giao_Hang_POS,0.14827439284192587,0.34128674904132933,0.09714529186195142,0.6551724137931034,1.9197124284299798,0.04654120636285359,1.9102684277801447,HIGH
"Giao_Hang_POS, Gia_Ca_POS",Chat_Luong_Chat_Lieu_POS,0.15168299957392417,0.6749041329356625,0.11248402215594376,0.7415730337078651,1.0987827715355805,0.010112538847423996,1.2579796595098272,HIGH
"Gia_Ca_POS, Dong_Goi_POS",CSKH_Hau_Mai_POS,0.14827439284192587,0.31998295696634,0.10311035364294845,0.6954022988505747,2.1732479299631144,0.05566507497900029,2.232508782789752,HIGH
"Gia_Ca_POS, CSKH_Hau_Mai_POS",Dong_Goi_POS,0.15466553046442266,0.45249254367277375,0.10311035364294845,0.6666666666666667,1.4733207784055242,0.03312535434460295,1.642522368981679,HIGH
"Dong_Goi_POS, CSKH_Hau_Mai_POS",Gia_Ca_POS,0.16744780570941628,0.31572219855134215,0.10311035364294845,0.6157760814249363,1.950373094607727,0.050243364281773555,1.780934940194189,HIGH
"Giao_Hang_POS, Chat_Luong_Chat_Lieu_POS, CSKH_Hau_Mai_POS",Gia_Ca_POS,0.11205794631444398,0.31572219855134215,0.07925010651896038,0.7072243346007604,2.240020935638306,0.043870925343415856,2.3372085945584025,HIGH
"Giao_Hang_POS, Chat_Luong_Chat_Lieu_POS, Gia_Ca_POS",CSKH_Hau_Mai_POS,0.11248402215594376,0.31998295696634,0.07925010651896038,0.7045454545454546,2.2018218133397895,0.04325713649803419,2.3015961456523883,HIGH
"Giao_Hang_POS, CSKH_Hau_Mai_POS, Gia_Ca_POS",Chat_Luong_Chat_Lieu_POS,0.09757136770345122,0.6749041329356625,0.07925010651896038,0.8122270742358079,1.2034702924440914,0.01339878719971592,1.7313245013426344,HIGH
"Gia_Ca_POS, Chat_Luong_Chat_Lieu_POS, CSKH_Hau_Mai_POS",Giao_Hang_POS,0.12185769066893908,0.34128674904132933,0.07925010651896038,0.6503496503496503,1.905581310075692,0.03766169142487422,1.8839198977417977,HIGH
"Giao_Hang_POS, Chat_Luong_Chat_Lieu_POS, Dong_Goi_POS",Gia_Ca_POS,0.11248402215594376,0.31572219855134215,0.07967618236046016,0.7083333333333333,2.2435335132703553,0.044162479583487714,2.346095319252541,HIGH
"Giao_Hang_POS, Chat_Luong_Chat_Lieu_POS, Gia_Ca_POS",Dong_Goi_POS,0.11248402215594376,0.45249254367277375,0.07967618236046016,0.7083333333333333,1.5654033270558694,0.028778001052572527,1.8771684216933464,HIGH
"Giao_Hang_POS, Dong_Goi_POS, Gia_Ca_POS",Chat_Luong_Chat_Lieu_POS,0.09714529186195142,0.6749041329356625,0.07967618236046016,0.8201754385964912,1.2152473196881093,0.01411242338758796,1.8078501875772912,HIGH
"Gia_Ca_POS, Chat_Luong_Chat_Lieu_POS, Dong_Goi_POS",Giao_Hang_POS,0.11844908393694077,0.34128674904132933,0.07967618236046016,0.6726618705035972,1.9709580650086673,0.0392510795766981,2.012332788642972,HIGH
"Giao_Hang_POS, Chat_Luong_Chat_Lieu_POS, Dong_Goi_POS",CSKH_Hau_Mai_POS,0.11248402215594376,0.31998295696634,0.07626757562846187,0.6780303030303031,2.118957551547432,0.040274605607535686,2.112052933657486,HIGH
"Giao_Hang_POS, Chat_Luong_Chat_Lieu_POS, CSKH_Hau_Mai_POS",Dong_Goi_POS,0.11205794631444398,0.45249254367277375,0.07626757562846187,0.6806083650190115,1.5041316692086817,0.025562190461891995,1.7142197739769107,HIGH
"Giao_Hang_POS, Dong_Goi_POS, CSKH_Hau_Mai_POS",Chat_Luong_Chat_Lieu_POS,0.09714529186195142,0.6749041329356625,0.07626757562846187,0.7850877192982457,1.1632581295410245,0.01070381665558967,1.5126909732789589,HIGH
"Chat_Luong_Chat_Lieu_POS, Dong_Goi_POS, CSKH_Hau_Mai_POS",Giao_Hang_POS,0.12611844908393693,0.34128674904132933,0.07626757562846187,0.6047297297297298,1.7719109558997204,0.033225020146470614,1.6664882246475774,HIGH
"Gia_Ca_POS, Chat_Luong_Chat_Lieu_POS, Dong_Goi_POS",CSKH_Hau_Mai_POS,0.11844908393694077,0.31998295696634,0.08606731998295697,0.7266187050359713,2.2708043950991006,0.048165631854860454,2.487430762675757,HIGH
